Year,Trade Flow,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Trade Value (US$)
2014,Re-Export,Rep. of Moldova,MDA,364,Iran,IRN,TOTAL,All Commodities,581161
2014,Re-Export,Rep. of Moldova,MDA,368,Iraq,IRQ,TOTAL,All Commodities,767430
2014,Re-Export,Rep. of Moldova,MDA,376,Israel,ISR,TOTAL,All Commodities,495636
2014,Re-Export,Rep. of Moldova,MDA,381,Italy,ITA,TOTAL,All Commodities,138786516
2014,Re-Export,Rep. of Moldova,MDA,392,Japan,JPN,TOTAL,All Commodities,13577
2014,Re-Export,Rep. of Moldova,MDA,398,Kazakhstan,KAZ,TOTAL,All Commodities,2403322
2014,Re-Export,Rep. of Moldova,MDA,417,Kyrgyzstan,KGZ,TOTAL,All Commodities,758456
2014,Re-Export,Rep. of Moldova,MDA,422,Lebanon,LBN,TOTAL,All Commodities,185468
2014,Re-Export,Rep. of Moldova,MDA,428,Latvia,LVA,TOTAL,All Commodities,1198515
2014,Re-Export,Rep. of Moldova,MDA,440,Lithuania,LTU,TOTAL,All Commodities,8230919
2014,Re-Export,Rep. of Moldova,MDA,466,Mali,MLI,TOTAL,All Commodities,90000
2014,Re-Export,Rep. of Moldova,MDA,470,Malta,MLT,TOTAL,All Commodities,689
2014,Re-Export,Rep. of Moldova,MDA,484,Mexico,MEX,TOTAL,All Commodities,23911
2014,Re-Export,Rep. of Moldova,MDA,490,"Other Asia, nes",,TOTAL,All Commodities,38184
2014,Re-Export,Rep. of Moldova,MDA,504,Morocco,MAR,TOTAL,All Commodities,20070
